2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/component/widget-component.js no change on TS : 2014-09-17T10:00:10.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/component/css/widget-component.css no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/component/css/widget-component.css no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menuitem/widget-menuitem.js no change on TS : 2014-08-05T12:00:24.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menuitem/widget-menuitem.js no change on TS : 2014-08-05T12:00:24.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menuitem/widget-menuitem-conf.js no change on TS : 2014-10-24T14:00:22.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menuitem/widget-menuitem-conf.js no change on TS : 2014-10-24T14:00:22.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menuitem/css/widget-menuitem.css no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menuitem/css/widget-menuitem.css no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menubar/widget-menubar.js no change on TS : 2014-04-17T10:11:50.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menubar/widget-menubar.js no change on TS : 2014-04-17T10:11:50.000Z"]}
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb] INFO - >>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menubar/widget-menubar-conf.js no change on TS : 2014-10-24T10:00:36.000Z
2015-01-27 23:01:44 [com.wakanda-software.StuFacJoint.StuFacJointWeb.console] INFO - {"data":[">>> >packageListHelper.diffPackageListStorageVsWpm() > file widget/menubar/widget-menubar-conf.js no change on TS : 2014-10-24T10:00:36.000Z"]}
